指标	2021年	2020年	2019年	2018年	2017年	2016年	2015年
农村居民人均粮食消费量(千克)	135.0	120.1	107.2	110.2	96.7	102.1	105.6
农村居民人均食用油消费量(千克)	9.1	8.9	8.1	9.5	9.0	9.7	9.4
农村居民人均蔬菜及食用菌消费量(千克)	114.3	114.1	108.9	106.6	88.7	92.7	91.0
农村居民人均肉类消费量(千克)	33.5	25.1	25.4	27.7	22.2	22.9	23.0
农村居民人均禽类消费量(千克)	7.1	6.8	5.8	5.3	4.0	4.4	4.2
农村居民人均水产品消费量(千克)	8.0	8.4	8.7	7.0	5.6	5.7	5.6
农村居民人均蛋类消费量(千克)	17.8	17.6	15.2	14.4	11.8	11.8	11.7
农村居民人均奶类消费量(千克)	17.4	15.1	14.6	16.0	12.9	13.3	13.9
农村居民人均干鲜瓜果类消费量(千克)	71.5	71.7	75.3	66.0	51.7	51.5	52.1
农村居民人均食糖消费量(千克)	1.2	1.4	1.2	1.2	1.2	1.3	1.0
