指标	2021年	2020年	2019年	2018年	2017年	2016年	2015年
城镇居民人均粮食消费量(千克)	106.0	105.2	95.7	89.1	72.4	81.0	88.5
城镇居民人均食用油消费量(千克)	6.6	7.3	6.7	6.9	8.2	9.7	11.0
城镇居民人均蔬菜及食用菌消费量(千克)	119.8	124.0	115.9	106.3	92.4	95.8	102.1
城镇居民人均肉类消费量(千克)	31.5	27.7	25.8	25.7	23.1	24.4	26.4
城镇居民人均禽类消费量(千克)	7.7	8.1	6.7	5.9	5.7	5.9	6.3
城镇居民人均水产品消费量(千克)	10.4	9.7	10.3	9.3	9.0	9.0	10.3
城镇居民人均蛋类消费量(千克)	15.9	16.8	14.4	14.6	12.1	12.1	14.0
城镇居民人均奶类消费量(千克)	31.8	32.4	31.1	27.6	24.0	24.8	28.9
城镇居民人均干鲜瓜果类消费量(千克)	78.1	83.5	87.1	76.0	65.8	65.0	71.5
城镇居民人均食糖消费量(千克)	1.1	1.2	1.1	1.1	1.0	1.2	0.8
